nivel_ruido,fuerza_cambio,tipo_cambio,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,delta_eval,series_total,series_train,series_test,series_avg_length,series_std_length,notes,series_file,status,trial_id,is_best,params_json,train_f1_mean,train_precision_mean,train_recall_mean,train_mmd_mean,train_mttd_mean,train_detections_mean,train_tp_mean,train_fp_mean,train_fn_mean,test_f1_mean,test_precision_mean,test_recall_mean,test_mmd_mean,test_mttd_mean,test_detections_mean,test_tp_mean,test_fp_mean,test_fn_mean,best_series_file
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo RBF.,series_alto_alto_escalon.json,ok,0,True,"{""jump"": 3, ""min_size"": 15, ""penalty"": 20.0}",0.27499999999999997,0.40625,0.2578125,0.7928326341766918,1.75,0.75,0.53125,0.21875,1.9375,0.23076923076923073,0.3076923076923077,0.19230769230769232,0.8897986317711453,3.625,0.5384615384615384,0.38461538461538464,0.15384615384615385,1.5384615384615385,best_series_alto_alto_escalon_changepoint_online_focus_trial0.json
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo RBF.,series_alto_alto_escalon.json,ok,1,False,"{""jump"": 3, ""min_size"": 25, ""penalty"": 20.0}",0.27499999999999997,0.40625,0.2578125,0.7928326341766918,1.75,0.75,0.53125,0.21875,1.9375,0.23076923076923073,0.3076923076923077,0.19230769230769232,0.8897986317711453,3.625,0.5384615384615384,0.38461538461538464,0.15384615384615385,1.5384615384615385,
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo RBF.,series_alto_alto_escalon.json,ok,2,False,"{""jump"": 3, ""min_size"": 15, ""penalty"": 30.0}",0.20416666666666666,0.34375,0.15625,0.8743216015842528,1.0833333333333333,0.5,0.375,0.125,2.09375,0.17948717948717946,0.23076923076923078,0.15384615384615385,0.922457829084853,4.166666666666667,0.38461538461538464,0.3076923076923077,0.07692307692307693,1.6153846153846154,
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo RBF.,series_alto_alto_escalon.json,ok,3,False,"{""jump"": 3, ""min_size"": 25, ""penalty"": 30.0}",0.20416666666666666,0.34375,0.15625,0.8743216015842528,1.0833333333333333,0.5,0.375,0.125,2.09375,0.17948717948717946,0.23076923076923078,0.15384615384615385,0.922457829084853,4.166666666666667,0.38461538461538464,0.3076923076923077,0.07692307692307693,1.6153846153846154,
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo L2.,series_alto_alto_escalon.json,ok,0,False,"{""jump"": 3, ""min_size"": 20, ""penalty"": 20.0}",0.49533712814962816,0.370995670995671,0.9322916666666666,0.37644184775650735,2.908854166666667,7.21875,2.3125,4.90625,0.15625,0.3649495803341957,0.23816183816183814,0.8846153846153846,0.42090597864937335,3.222222222222222,8.153846153846153,1.7692307692307692,6.384615384615385,0.15384615384615385,
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo L2.,series_alto_alto_escalon.json,ok,1,False,"{""jump"": 5, ""min_size"": 20, ""penalty"": 20.0}",0.4802549880674881,0.3615755772005772,0.90625,0.36610571857273133,2.816666666666667,7.46875,2.3125,5.15625,0.15625,0.3946698600544754,0.2640376717299794,0.9615384615384616,0.38749936718924655,3.512820512820513,8.307692307692308,1.8461538461538463,6.461538461538462,0.07692307692307693,
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo L2.,series_alto_alto_escalon.json,ok,2,True,"{""jump"": 3, ""min_size"": 20, ""penalty"": 30.0}",0.5183875152625153,0.41022050865800863,0.9010416666666666,0.3665291843233781,2.846354166666667,6.59375,2.25,4.34375,0.21875,0.42247197247197243,0.29508547008547015,0.8846153846153846,0.41264450444329187,3.097222222222222,7.0,1.7692307692307692,5.230769230769231,0.15384615384615385,best_series_alto_alto_escalon_changepoint_online_gaussian_trial2.json
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Ruptures PELT con costo L2.,series_alto_alto_escalon.json,ok,3,False,"{""jump"": 5, ""min_size"": 20, ""penalty"": 30.0}",0.5097511863136863,0.39649395743145743,0.890625,0.37086519657132766,2.8,6.5625,2.28125,4.28125,0.1875,0.4406311637080868,0.30797535797535797,0.9615384615384616,0.39137420144531543,3.3205128205128207,7.3076923076923075,1.8461538461538463,5.461538461538462,0.07692307692307693,
alto,alto,escalon,changepoint_online_np_focus,changepoint_online,NPFocus,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Detector no parametrico tipo ventana.,series_alto_alto_escalon.json,ok,0,True,"{""jump"": 3, ""penalty"": 20.0, ""width"": 30}",0.259375,0.375,0.2265625,0.8580164198788932,2.1538461538461537,0.5,0.4375,0.0625,2.03125,0.21794871794871792,0.2692307692307692,0.19230769230769232,0.8898744485744137,2.625,0.6153846153846154,0.38461538461538464,0.23076923076923078,1.5384615384615385,best_series_alto_alto_escalon_changepoint_online_np_focus_trial0.json
alto,alto,escalon,changepoint_online_np_focus,changepoint_online,NPFocus,no_supervisado,True,10,45,32,13,280.0,83.2666399786453,Detector no parametrico tipo ventana.,series_alto_alto_escalon.json,ok,1,False,"{""jump"": 3, ""penalty"": 20.0, ""width"": 50}",0.2458333333333333,0.34375,0.2265625,0.8304911599010129,2.230769230769231,0.5625,0.4375,0.125,2.03125,0.20512820512820512,0.23076923076923078,0.19230769230769232,0.84624486105003,3.6666666666666665,0.5384615384615384,0.38461538461538464,0.15384615384615385,1.5384615384615385,
