Index,Value,Is_ChangePoint,ChangePoint_Type,ChangePoint_Confidence,ChangePoint_Notes
0,0,FALSE,,,
1,2,FALSE,,,
2,1,FALSE,,,
3,0,FALSE,,,
4,2,FALSE,,,
5,2,FALSE,,,
6,1,FALSE,,,
7,1,FALSE,,,
8,2,FALSE,,,
9,3,FALSE,,,
10,2,FALSE,,,
11,1,FALSE,,,
12,1,FALSE,,,
13,2,FALSE,,,
14,2,FALSE,,,
15,5,FALSE,,,
16,3,FALSE,,,
17,3,FALSE,,,
18,1,FALSE,,,
19,1,FALSE,,,
20,4,FALSE,,,
21,2,FALSE,,,
22,0,FALSE,,,
23,5,FALSE,,,
24,52,FALSE,,,
25,2,FALSE,,,
26,0,FALSE,,,
27,2,FALSE,,,
28,6,FALSE,,,
29,2,FALSE,,,
30,2,FALSE,,,
31,6,FALSE,,,
32,3,FALSE,,,
33,0,FALSE,,,
34,3,FALSE,,,
35,5,FALSE,,,
36,1,FALSE,,,
37,5,FALSE,,,
38,2,FALSE,,,
39,3,FALSE,,,
40,1,FALSE,,,
41,4,FALSE,,,
42,2,FALSE,,,
43,7,FALSE,,,
44,4,FALSE,,,
45,3,FALSE,,,
46,1,FALSE,,,
47,6,FALSE,,,
48,3,FALSE,,,
49,2,FALSE,,,
50,2,FALSE,,,
51,1,FALSE,,,
52,5,FALSE,,,
53,1,FALSE,,,
54,9,FALSE,,,
55,44,FALSE,,,
56,9,FALSE,,,
57,4,FALSE,,,
58,3,FALSE,,,
59,3,FALSE,,,
60,4,FALSE,,,
61,3,FALSE,,,
62,4,FALSE,,,
63,5,FALSE,,,
64,8,FALSE,,,
65,7,FALSE,,,
66,11,FALSE,,,
67,4,FALSE,,,
68,5,FALSE,,,
69,11,FALSE,,,
70,6,FALSE,,,
71,11,FALSE,,,
72,6,FALSE,,,
73,6,FALSE,,,
74,9,FALSE,,,
75,0,TRUE,trend,0.8,"Manual evaluation - tendencia change point"
76,7,FALSE,,,
77,11,FALSE,,,
78,6,FALSE,,,
79,23,FALSE,,,
80,15,FALSE,,,
81,26,FALSE,,,
82,25,FALSE,,,
83,15,FALSE,,,
84,21,FALSE,,,
85,62,FALSE,,,
86,18,FALSE,,,
87,17,FALSE,,,
88,22,FALSE,,,
89,29,FALSE,,,
90,18,FALSE,,,
91,15,FALSE,,,
92,10,FALSE,,,
93,27,FALSE,,,
94,12,FALSE,,,
95,22,FALSE,,,
96,22,FALSE,,,
97,26,FALSE,,,
98,18,FALSE,,,
99,32,FALSE,,,
100,17,FALSE,,,
101,12,FALSE,,,
102,31,FALSE,,,
103,25,FALSE,,,
104,22,FALSE,,,
105,17,FALSE,,,
106,25,FALSE,,,
107,22,FALSE,,,
108,16,FALSE,,,
109,30,FALSE,,,
110,21,FALSE,,,
111,23,FALSE,,,
112,23,FALSE,,,
113,22,FALSE,,,
114,20,FALSE,,,
115,24,FALSE,,,
116,83,FALSE,,,
117,25,FALSE,,,
118,21,FALSE,,,
119,16,FALSE,,,
