Index,Value,Is_ChangePoint,ChangePoint_Type,ChangePoint_Confidence,ChangePoint_Notes
0,57,FALSE,,,
1,60,FALSE,,,
2,84,FALSE,,,
3,65,FALSE,,,
4,67,FALSE,,,
5,71,FALSE,,,
6,80,FALSE,,,
7,64,FALSE,,,
8,77,TRUE,mean,0.8,"Manual evaluation - media change point"
9,103,FALSE,,,
10,94,FALSE,,,
11,103,FALSE,,,
12,102,FALSE,,,
13,90,FALSE,,,
14,86,FALSE,,,
15,88,FALSE,,,
16,103,FALSE,,,
17,67,FALSE,,,
18,101,FALSE,,,
19,97,FALSE,,,
20,74,FALSE,,,
21,90,FALSE,,,
22,103,FALSE,,,
23,112,FALSE,,,
24,110,FALSE,,,
25,99,FALSE,,,
26,98,FALSE,,,
27,108,FALSE,,,
28,81,FALSE,,,
29,85,FALSE,,,
30,90,FALSE,,,
31,88,FALSE,,,
32,99,FALSE,,,
33,61,FALSE,,,
34,70,FALSE,,,
35,118,FALSE,,,
36,115,FALSE,,,
37,92,FALSE,,,
38,120,FALSE,,,
39,92,FALSE,,,
40,88,FALSE,,,
41,90,FALSE,,,
42,97,FALSE,,,
43,84,FALSE,,,
44,82,FALSE,,,
45,74,FALSE,,,
46,102,FALSE,,,
47,95,FALSE,,,
48,101,FALSE,,,
49,89,FALSE,,,
50,85,FALSE,,,
51,95,FALSE,,,
52,78,FALSE,,,
53,93,FALSE,,,
54,110,FALSE,,,
55,108,FALSE,,,
56,83,FALSE,,,
57,78,FALSE,,,
58,90,FALSE,,,
59,74,FALSE,,,
60,85,FALSE,,,
61,56,FALSE,,,
62,79,TRUE,mean,0.8,"Manual evaluation - media change point"
63,32,FALSE,,,
64,39,FALSE,,,
65,33,FALSE,,,
66,27,FALSE,,,
67,43,FALSE,,,
68,32,FALSE,,,
69,41,FALSE,,,
70,38,FALSE,,,
71,41,FALSE,,,
72,47,TRUE,mean,0.8,"Manual evaluation - media change point"
73,65,FALSE,,,
74,75,FALSE,,,
75,55,FALSE,,,
76,75,FALSE,,,
77,55,FALSE,,,
78,68,FALSE,,,
79,58,FALSE,,,
80,40,FALSE,,,
81,52,FALSE,,,
82,59,FALSE,,,
83,63,FALSE,,,
84,79,FALSE,,,
85,86,FALSE,,,
86,88,FALSE,,,
87,71,FALSE,,,
88,66,FALSE,,,
89,69,FALSE,,,
90,83,FALSE,,,
91,58,FALSE,,,
92,33,FALSE,,,
93,52,FALSE,,,
94,63,FALSE,,,
95,55,FALSE,,,
96,40,FALSE,,,
97,78,FALSE,,,
98,92,FALSE,,,
99,84,FALSE,,,
100,58,FALSE,,,
101,42,FALSE,,,
102,58,FALSE,,,
103,92,FALSE,,,
104,86,FALSE,,,
105,79,FALSE,,,
106,80,FALSE,,,
107,103,FALSE,,,
108,84,FALSE,,,
109,67,FALSE,,,
110,80,FALSE,,,
111,70,FALSE,,,
112,77,FALSE,,,
113,43,FALSE,,,
114,62,FALSE,,,
115,77,FALSE,,,
116,52,FALSE,,,
117,47,FALSE,,,
118,74,FALSE,,,
119,0,FALSE,,,
